date,county,type,num,id
4/13/20,"Alameda County, California",positive,821,1
4/13/20,"Alpine County, California",positive,1,2
4/13/20,"Amador County, California",positive,7,3
4/13/20,"Butte County, California",positive,15,4
4/13/20,"Calaveras County, California",positive,9,5
4/13/20,"Colusa County, California",positive,3,6
4/13/20,"Contra Costa County, California",positive,581,7
4/13/20,"Del Norte County, California",positive,2,8
4/13/20,"El Dorado County, California",positive,34,9
4/13/20,"Fresno County, California",positive,209,10
4/13/20,"Glenn County, California",positive,3,11
4/13/20,"Humboldt County, California",positive,50,12
4/13/20,"Imperial County, California",positive,100,13
4/13/20,"Inyo County, California",positive,12,14
4/13/20,"Kern County, California",positive,446,15
4/13/20,"Kings County, California",positive,10,16
4/13/20,"Lake County, California",positive,4,17
4/13/20,"Lassen County, California",positive,0,18
4/13/20,"Los Angeles County, California",positive,9367,19
4/13/20,"Madera County, California",positive,33,20
4/13/20,"Marin County, California",positive,144,21
4/13/20,"Mariposa County, California",positive,0,22
4/13/20,"Mendocino County, California",positive,4,23
4/13/20,"Merced County, California",positive,60,24
4/13/20,"Modoc County, California",positive,0,25
4/13/20,"Mono County, California",positive,23,26
4/13/20,"Monterey County, California",positive,89,27
4/13/20,"Napa County, California",positive,34,28
4/13/20,"Nevada County, California",positive,34,29
4/13/20,"Orange County, California",positive,1313,30
4/13/20,"Placer County, California",positive,116,31
4/13/20,"Plumas County, California",positive,4,32
4/13/20,"Riverside County, California",positive,1751,33
4/13/20,"Sacramento County, California",positive,724,34
4/13/20,"San Benito County, California",positive,38,35
4/13/20,"San Bernardino County, California",positive,925,36
4/13/20,"San Diego County, California",positive,1849,37
4/13/20,"San Francisco County, California",positive,959,38
4/13/20,"San Joaquin County, California",positive,259,39
4/13/20,"San Luis Obispo County, California",positive,107,40
4/13/20,"San Mateo County, California",positive,679,41
4/13/20,"Santa Barbara County, California",positive,271,42
4/13/20,"Santa Clara County, California",positive,1542,43
4/13/20,"Santa Cruz County, California",positive,82,44
4/13/20,"Shasta County, California",positive,24,45
4/13/20,"Sierra County, California",positive,0,46
4/13/20,"Siskiyou County, California",positive,5,47
4/13/20,"Solano County, California",positive,137,48
4/13/20,"Sonoma County, California",positive,147,49
4/13/20,"Stanislaus County, California",positive,132,50
4/13/20,"Sutter County, California",positive,38,51
4/13/20,"Tehama County, California",positive,1,52
4/13/20,"Trinity County, California",positive,0,53
4/13/20,"Tulare County, California",positive,264,54
4/13/20,"Tuolumne County, California",positive,1,55
4/13/20,"Ventura County, California",positive,317,56
4/13/20,"Yolo County, California",positive,101,57
4/13/20,"Yuba County, California",positive,15,58
4/13/20,Unknown,positive,2,59
4/13/20,"Alameda County, California",death,31,60
4/13/20,"Alpine County, California",death,0,61
4/13/20,"Amador County, California",death,0,62
4/13/20,"Butte County, California",death,0,63
4/13/20,"Calaveras County, California",death,0,64
4/13/20,"Colusa County, California",death,0,65
4/13/20,"Contra Costa County, California",death,11,66
4/13/20,"Del Norte County, California",death,0,67
4/13/20,"El Dorado County, California",death,0,68
4/13/20,"Fresno County, California",death,5,69
4/13/20,"Glenn County, California",death,0,70
4/13/20,"Humboldt County, California",death,0,71
4/13/20,"Imperial County, California",death,3,72
4/13/20,"Inyo County, California",death,0,73
4/13/20,"Kern County, California",death,3,74
4/13/20,"Kings County, California",death,1,75
4/13/20,"Lake County, California",death,0,76
4/13/20,"Lassen County, California",death,0,77
4/13/20,"Los Angeles County, California",death,320,78
4/13/20,"Madera County, California",death,2,79
4/13/20,"Marin County, California",death,10,80
4/13/20,"Mariposa County, California",death,0,81
4/13/20,"Mendocino County, California",death,0,82
4/13/20,"Merced County, California",death,3,83
4/13/20,"Modoc County, California",death,0,84
4/13/20,"Mono County, California",death,1,85
4/13/20,"Monterey County, California",death,3,86
4/13/20,"Napa County, California",death,2,87
4/13/20,"Nevada County, California",death,1,88
4/13/20,"Orange County, California",death,21,89
4/13/20,"Placer County, California",death,7,90
4/13/20,"Plumas County, California",death,0,91
4/13/20,"Riverside County, California",death,50,92
4/13/20,"Sacramento County, California",death,27,93
4/13/20,"San Benito County, California",death,2,94
4/13/20,"San Bernardino County, California",death,31,95
4/13/20,"San Diego County, California",death,66,96
4/13/20,"San Francisco County, California",death,15,97
4/13/20,"San Joaquin County, California",death,17,98
4/13/20,"San Luis Obispo County, California",death,1,99
4/13/20,"San Mateo County, California",death,25,100
4/13/20,"Santa Barbara County, California",death,2,101
4/13/20,"Santa Clara County, California",death,60,102
4/13/20,"Santa Cruz County, California",death,1,103
4/13/20,"Shasta County, California",death,3,104
4/13/20,"Sierra County, California",death,0,105
4/13/20,"Siskiyou County, California",death,0,106
4/13/20,"Solano County, California",death,2,107
4/13/20,"Sonoma County, California",death,2,108
4/13/20,"Stanislaus County, California",death,2,109
4/13/20,"Sutter County, California",death,2,110
4/13/20,"Tehama County, California",death,1,111
4/13/20,"Trinity County, California",death,0,112
